stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
stop_3304_132801,782-01,"Agatowa","01",50.021911666,20.042668333,,,0,,,
stop_3304_132802,782-02,"Agatowa","02",50.021763611,20.043033888,,,0,,,
stop_1626_311101,826-01,"AGH / UR","01",50.064276111,19.924364444,,,0,,,
stop_1626_311102,826-02,"AGH / UR","02",50.062825555,19.923145000,,,0,,,
stop_87_11701,867-01,"Akacjowa","01",50.081540277,19.977547500,,,0,,,
stop_87_11702,867-02,"Akacjowa","02",50.081524444,19.976936666,,,0,,,
stop_3305_388903,100-03,"AKF / PK","03",50.074006388,19.997529722,,,0,,,
stop_3305_388904,100-04,"AKF / PK","04",50.073838888,19.998276944,,,0,,,
stop_1056_257301,686-01,"Albatrosów","01",50.037977222,20.017977222,,,0,,,
stop_1056_257302,686-02,"Albatrosów","02",50.037523888,20.019534722,,,0,,,
stop_1056_257306,686-06,"Albatrosów","06",50.037341944,20.018201111,,,0,,,
stop_3398_389602,439-02,"Aleja 29 Listopada Wiadukt","02",50.093300000,19.959750000,,,0,,,
stop_300_41501,137-01,"Aleja Przyjaźni","01",50.075134444,20.034164722,,,0,,,
stop_300_41502,137-02,"Aleja Przyjaźni","02",50.075510555,20.034422500,,,0,,,
stop_300_41503,137-03,"Aleja Przyjaźni","03",50.075454444,20.033727500,,,0,,,
stop_300_41505,137-05,"Aleja Przyjaźni","05",50.075341111,20.034581388,,,0,,,
stop_301_41601,138-01,"Aleja Róż","01",50.075730000,20.038591944,,,0,,,
stop_301_41602,138-02,"Aleja Róż","02",50.075053333,20.037864444,,,0,,,
stop_301_41603,138-03,"Aleja Róż","03",50.074788055,20.038866944,,,0,,,
stop_2179_338801,2077-01,"Aleksandrowice Centrum","01",50.081254722,19.763993333,,,0,,,
stop_2179_338802,2077-02,"Aleksandrowice Centrum","02",50.081176666,19.764029166,,,0,,,
stop_182_23601,2076-01,"Aleksandrowice Osiedle","01",50.081698888,19.769260277,,,0,,,
stop_182_23602,2076-02,"Aleksandrowice Osiedle","02",50.081568888,19.769158333,,,0,,,
stop_1667_315001,891-01,"Aleksandrowicza","01",49.979641666,19.949197500,,,0,,,
stop_1667_315002,891-02,"Aleksandrowicza","02",49.979510555,19.949762222,,,0,,,
stop_792_112201,764-01,"Aleksandry","01",50.008617500,20.018161666,,,0,,,
stop_792_112202,764-02,"Aleksandry","02",50.008290833,20.018437500,,,0,,,
stop_3440_391771,7425-71,"Architektów Szkoła","71",50.096738888,20.060688611,,,0,,,
stop_319_43701,451-01,"Architektów","01",50.097377222,20.054655555,,,0,,,
stop_319_43702,451-02,"Architektów","02",50.096897777,20.055444166,,,0,,,
stop_319_43704,451-04,"Architektów","04",50.096887500,20.054577500,,,0,,,
stop_3213_384801,113-01,"Arctowskiego","01",50.056984722,20.001714444,,,0,,,
stop_3213_384802,113-02,"Arctowskiego","02",50.056461666,20.000383611,,,0,,,
stop_3213_384804,113-04,"Arctowskiego","04",50.056347222,20.001372500,,,0,,,
stop_292_40301,164-01,"Arka","01",50.083490555,20.030394722,,,0,,,
stop_292_40302,164-02,"Arka","02",50.084042500,20.029923611,,,0,,,
stop_1024_253301,352-01,"Armii Krajowej","01",50.071698333,19.890901666,,,0,,,
stop_1024_253302,352-02,"Armii Krajowej","02",50.071944166,19.890860277,,,0,,,
stop_36_5401,377-01,"Azory","01",50.086785833,19.908793611,,,0,,,
stop_36_5481,377-81,"Azory","81",50.086817222,19.909212222,,,0,,,
stop_112_14501,328-01,"Baba Jaga","01",50.059201111,19.862212500,,,0,,,
stop_112_14502,328-02,"Baba Jaga","02",50.059090833,19.862541388,,,0,,,
stop_546_76701,536-01,"Babińskiego","01",50.007075277,19.881150555,,,0,,,
stop_546_76702,536-02,"Babińskiego","02",50.007072500,19.879870000,,,0,,,
stop_546_76703,536-03,"Babińskiego","03",50.007487500,19.881083055,,,0,,,
stop_757_108301,763-01,"Baczyńskiego","01",50.003051388,19.869039166,,,0,,,
stop_757_108302,763-02,"Baczyńskiego","02",50.003543055,19.869453333,,,0,,,
stop_1049_256501,730-01,"Bagienna","01",50.010176666,19.840899444,,,0,,,
stop_1049_256502,730-02,"Bagienna","02",50.009746111,19.841222222,,,0,,,
stop_1219_286501,888-01,"Bagry","01",50.034096111,19.995266111,,,0,,,
stop_169_22101,2072-01,"Balice Autostrada","01",50.084912500,19.804189722,,,0,,,
stop_169_22102,2072-02,"Balice Autostrada","02",50.084286388,19.807113333,,,0,,,
stop_1107_263501,2292-01,"Balice Grzybów","01",50.090557777,19.782728888,,,0,,,
stop_1107_263502,2292-02,"Balice Grzybów","02",50.090907500,19.781928055,,,0,,,
stop_2176_338501,2074-01,"Balice Instytut Zootechniki","01",50.083860277,19.788948333,,,0,,,
stop_3040_375001,2851-01,"Balice Krakowska","01",50.083409166,19.782738333,,,0,,,
stop_3040_375002,2851-02,"Balice Krakowska","02",50.083439166,19.783379166,,,0,,,
stop_1108_263601,2005-01,"Balice Leśna","01",50.089868611,19.786695833,,,0,,,
stop_1108_263602,2005-02,"Balice Leśna","02",50.089945555,19.786671944,,,0,,,
stop_1355_301201,2069-01,"Balice Medweckiego","01",50.069297222,19.801830277,,,0,,,
stop_1355_301202,2069-02,"Balice Medweckiego","02",50.068178611,19.800905277,,,0,,,
stop_3298_388601,2071-01,"Balice Na Lotnisko","01",50.076624444,19.808118055,,,0,,,
stop_1356_301301,2473-01,"Balice Olszanica Bory","01",50.062986944,19.804051944,,,0,,,
stop_1356_301302,2473-02,"Balice Olszanica Bory","02",50.061692222,19.803919722,,,0,,,
stop_2204_341501,2291-01,"Balice Remiza","01",50.086789722,19.790970277,,,0,,,
stop_2204_341502,2291-02,"Balice Remiza","02",50.086724166,19.791229444,,,0,,,
stop_170_22201,2073-01,"Balice Szkoła","01",50.084877500,19.793932222,,,0,,,
stop_170_22202,2073-02,"Balice Szkoła","02",50.083675555,19.790306944,,,0,,,
stop_1264_291201,2075-01,"Balice Winna Góra","01",50.082550277,19.775953888,,,0,,,
stop_1264_291202,2075-02,"Balice Winna Góra","02",50.082657222,19.777378055,,,0,,,
stop_414_57801,502-01,"Bałuckiego","01",50.049639722,19.925893888,,,0,,,
stop_1196_279601,457-01,"Banacha","01",50.102126111,19.963806944,,,0,,,
stop_1196_279602,457-02,"Banacha","02",50.101320833,19.963149722,,,0,,,
stop_1196_279603,457-03,"Banacha","03",50.101704722,19.964317500,,,0,,,
stop_1196_279604,457-04,"Banacha","04",50.101799722,19.962594166,,,0,,,
stop_388_54101,248-01,"Bartnicza","01",50.056611388,20.187095277,,,0,,,
stop_388_54102,248-02,"Bartnicza","02",50.056690277,20.186932500,,,0,,,
stop_495_70301,709-01,"Barycz","01",49.985443055,20.002446666,,,0,,,
stop_495_70303,709-03,"Barycz","03",49.984944444,20.002378333,,,0,,,
stop_1019_252801,386-01,"Batalionu ""Skała"" AK","01",50.087928333,19.923458333,,,0,,,
stop_1019_252802,386-02,"Batalionu ""Skała"" AK","02",50.088819166,19.923416388,,,0,,,
stop_1307_296201,2181-01,"Batowice Dłubnia","01",50.113591111,20.021758333,,,0,,,
stop_1307_296202,2181-02,"Batowice Dłubnia","02",50.113927500,20.022528611,,,0,,,
stop_257_35201,2180-01,"Batowice Kapliczka","01",50.111547500,20.016391111,,,0,,,
stop_257_35202,2180-02,"Batowice Kapliczka","02",50.111272777,20.015411111,,,0,,,
stop_1304_295901,2179-01,"Batowice Spławy","01",50.109884166,20.010491388,,,0,,,
stop_1304_295902,2179-02,"Batowice Spławy","02",50.110072777,20.009106944,,,0,,,
stop_1636_312101,693-01,"Bazarowa","01",50.034394722,20.042146666,,,0,,,
stop_1636_312102,693-02,"Bazarowa","02",50.034125000,20.042288888,,,0,,,
stop_1014_251801,304-01,"Benedyktowicza","01",50.047615833,19.889045000,,,0,,,
stop_1014_251802,304-02,"Benedyktowicza","02",50.047653888,19.890946944,,,0,,,
stop_641_92301,832-01,"Beskidzka","01",50.018673611,19.951652777,,,0,,,
stop_641_92302,832-02,"Beskidzka","02",50.018370000,19.951585555,,,0,,,
stop_2816_368601,240-01,"Betonowa","01",50.056350000,20.202353055,,,0,,,
stop_2816_368602,240-02,"Betonowa","02",50.055731666,20.202615277,,,0,,,
stop_682_97801,2326-01,"Bębło Lasek","01",50.183223333,19.777471944,,,0,,,
stop_682_97802,2326-02,"Bębło Lasek","02",50.183136944,19.777275833,,,0,,,
stop_681_97701,2325-01,"Bębło Łabajowa","01",50.179961388,19.785812500,,,0,,,
stop_681_97702,2325-02,"Bębło Łabajowa","02",50.179751388,19.785644166,,,0,,,
stop_680_97601,2324-01,"Bębło Stara Wieś","01",50.184348888,19.792071944,,,0,,,
stop_680_97602,2324-02,"Bębło Stara Wieś","02",50.184634722,19.792467500,,,0,,,
