stop_name,stop_lat,stop_lon
AGH / UR,50.063550833,19.923754721999998
AKF / PK,50.073922638,19.997903333
Agatowa,50.0218376385,20.042851110500003
Akacjowa,50.081532360500006,19.977242083
Albatrosów,50.03761435133333,20.018571018333333
Aleja 29 Listopada Wiadukt,50.0933,19.95975
Aleja Przyjaźni,50.0753601385,20.034224027500002
Aleja Róż,50.07519046266666,20.038441110666668
Aleksandrowice Centrum,50.081215693999994,19.7640112495
Aleksandrowice Osiedle,50.081633888,19.769209305
Aleksandrowicza,49.9795761105,19.949479861
Aleksandry,50.0084541665,20.018299583
Architektów,50.09705416633333,20.054892407
Architektów Szkoła,50.096738888,20.060688611
Arctowskiego,50.05659787,20.001156851666668
Arka,50.0837665275,20.0301591665
Armii Krajowej,50.071821249500005,19.890880971500003
Azory,50.0868015275,19.9090029165
Baba Jaga,50.059145971999996,19.862376943999998
Babińskiego,50.007211759,19.880701203333334
Baczyńskiego,50.003297221500006,19.8692462495
Bagienna,50.0099613885,19.841060833
Bagry,50.034096111,19.995266111
Balice Autostrada,50.084599444000006,19.8056515275
Balice Grzybów,50.0907326385,19.7823284715
Balice Instytut Zootechniki,50.083860277,19.788948333
Balice Krakowska,50.083424166,19.7830587495
Balice Leśna,50.089907083,19.7866838885
Balice Medweckiego,50.0687379165,19.801367777
Balice Na Lotnisko,50.076624444,19.808118055
Balice Olszanica Bory,50.062339582999996,19.803985833
Balice Remiza,50.086756944,19.791099860499997
Balice Szkoła,50.084276527499995,19.792119583
Balice Winna Góra,50.0826037495,19.7766659715
Banacha,50.101737847,19.963467083
Bartnicza,50.0566508325,20.1870138885
Barycz,49.9851937495,20.0024124995
"Batalionu ""Skała"" AK",50.0883737495,19.9234373605
Batowice Dłubnia,50.1137593055,20.022143472
Batowice Kapliczka,50.111410138500005,20.015901110999998
Batowice Spławy,50.1099784715,20.009799166
Bazarowa,50.034259861,20.042217777
Bałuckiego,50.049639722,19.925893888
Benedyktowicza,50.0476348605,19.889995972
Beskidzka,50.0185218055,19.951619166
Betonowa,50.056040833,20.202484165999998
Białe Wzgórze,50.051534027,19.908838472
Białoprądnicka,50.094934304999995,19.935297916499998
Białucha,50.067782083,19.977758055000002
Biały Kościół Dolina Kluczwody,50.1687238885,19.826351944000002
Biały Kościół Murownia,50.178665555,19.813632083
Biały Kościół Murownia Pętla,50.181106111,19.811826111
Bibice Cmentarz,50.125609583,19.941485972000002
Bibice Kościuszki,50.1213801385,19.9587362495
Bibice Mokra,50.131013055,19.9607238885
Bibice Na Czekaj,50.132980092000004,19.966547499666667
Bibice Rynek,50.126395972,19.953696805
Bielany,50.043200092333336,19.819946573333333
Bielany Klasztor,50.043397360499995,19.8310813885
Bielany Obwodnica,50.042596943999996,19.810013750000003
Bielany Szkoła,50.04425527733333,19.826938518000002
Bielańska,50.0366597215,19.825693055000002
Bielańskie Skały,50.0441012495,19.851132083
Bieńczycka,50.076381527500004,20.0217823605
Bieżanowska,50.02340159675,19.98014923575
Bieżanów Drożdżownia SKA,50.011432083,20.0362563885
Bieżanów Granica Miasta,50.010324444000005,20.0647516665
Bieżanów Kaim,50.008084166,20.045017222
Bieżanów Pomnik,50.018160740333336,20.034405092333333
Bieżanów Potrzask,50.00835875,20.0528702775
Bieżanów Szkoła,50.018598611,20.024671666
Biprostal,50.0730138884,19.9154310552
Biskupa Prandoty,50.0785641665,19.94928625
Biskupice Rymarówka,49.972567221999995,20.1233237495
Biskupice Szczygłów,49.969193333,20.1326312495
Biskupińska,50.036247360999994,20.013655416
Bitschana,50.088705833,19.970796944
Blokowa,50.085528055,20.074033333000003
Bochenka,50.0101188885,19.9711901385
Bociana,50.095202777500006,19.954147916
Bodzowska,50.041206943999995,19.8724509715
Bodzów,50.038667777,19.867614166
Bogucianka,50.010109305,19.8121137495
Bojki,50.0078676385,19.961914860500002
Bolechowice Centrum,50.14696826325,19.791998194
Bolechowice Drogi,50.1420799995,19.796911944
Bolechowice Krzewiny,50.1351372215,19.799164444
Bolechowice Zielona,50.12707756925,19.8037645135
Bolechowice Zielona Mała,50.1319624995,19.7917988885
Bolesława Śmiałego,50.018310694,19.8177627775
Boleń Pętla,50.128591111,19.983133333
Bonarka,50.029289583,19.9537438885
Bora-Komorowskiego,50.0858076385,19.9795374995
Borek Fałęcki,50.01163215225,19.92707493025
Borek Szlachecki,49.9657840275,19.777752916
Borek Szlachecki Kościół,49.9649409715,19.771519165999997
Borkowska,50.004760138500004,19.9058186105
Borsucza,50.030393471500005,19.9287665275
Bosaków,50.0827774995,19.963724583
Bosutów Kościuszki,50.123243055,19.9940663885
Bosutów Krakowska,50.114628194,19.994824583
Botewa,50.03817286966666,20.027061480666667
Brama nr 8,50.073512777000005,20.126281944
Bratysławska,50.0836297915,19.93351062475
Brodowicza,50.069659027,19.961981805
Brogi,50.079754582999996,19.960213888
Bronowice,50.077466944,19.901756944
Bronowice Małe,50.08134546266667,19.88158541616667
Bronowice SKA,50.0814037776,19.8898129442
Bronowice Wielkie,50.105620694,19.8804861105
Brzegi Dom Kultury,50.0365558325,20.100936805
Brzegi Granica,50.037180416,20.1061438885
Brzegi Grobla,50.033305972,20.0940523605
Brzegi Pętla,50.031444444,20.09499
Brzegi Użytek Ekologiczny,50.035284305,20.087499027
Brzezie Działki,50.1166586105,19.8288901385
Brzezie Kluczwody,50.12872527725,19.821810138500002
Brzezie Kościół,50.132327569,19.821636458
Brzezie Kulka,50.1249374995,19.814845972
Brzezie Narodowe,50.1228106245,19.82169791625
Brzezinka Kościół,50.137804583000005,19.7387087495
Brzezinka Kuźnia,49.962972360500004,19.649084305000002
Brzezinka Skrzyżowanie,50.135411249499995,19.7396849995
Brzezinka Zarzecze,50.1382074995,19.747948332500002
Brzeźnica Dworzec,49.967182777,19.628235833
Brzeźnica Pasieka,49.9647724995,19.638939444000002
Brzoskwinia Góra,50.093678472,19.729222499499997
Brzoskwinia Kamyk,50.093247222,19.710103472
Brzoskwinia Koziary,50.090611666499996,19.734908055
Brzoskwinia Pętla,50.089834999999994,19.702912222000002
Brzoskwinia Remiza,50.0955658325,19.718502637999997
Brzozówka Oskarówka,50.1755059715,19.8964820825
Brzozówka Ośrodek,50.172235694,19.898241527499998
Brzyczyna,49.972694721500005,19.868873610500003
Brücknera,50.0122176385,19.8758662495
Budzyń Plaża Główna,50.0476327775,19.791585694
Budzyń Zalew na Piaskach,50.049470416,19.7993972215
Bujaka,50.009990416,19.9486299995
Buków Klin,49.9465933325,19.841823333
Buków Pętla,49.9533286105,19.8348697215
Buków Szkoła,49.946451666,19.846613194
Bulwarowa Ogródki Działkowe,50.071160555,20.053534166
Bunscha,50.0123662495,19.8835137495
Burów Balica,50.093641805000004,19.7742677775
Burów Centrum,50.095253611,19.769341388
Bystronia,50.109753194,20.114565
Bębło Lasek,50.1831801385,19.7773738885
Bębło Stara Wieś,50.184491805,19.792269722
Bębło Łabajowa,50.179856388000005,19.785728333
Będkowice Borynia,50.1759488885,19.754517360500003
Będkowice Cmentarz,50.171418471500004,19.7495466665
Będkowice Długa,50.163981388500005,19.7504162495
Będkowice Kawiory,50.1785815275,19.762101805500002
Będkowice Mosurowa,50.180712499500004,19.7671513885
Będkowice Pętla,50.158599166,19.747296111
Będkowice Rynek,50.167609722,19.752064305
Błonia Kościelnickie,50.0843972215,20.166229583
Cechowa,50.0069540275,19.9717290275
Cedyńska,50.090283888,20.004309722
Centralna,50.063567222,20.003794583
Centrum JP II,50.012326388,19.9371075
Chabrowa,50.0981330555,19.9123251385
Chałubińskiego,49.983031944000004,19.9368404165
Chełm,50.06774481433333,19.846720925666666
Chełmońskiego Osiedle,50.091783055,19.902153333
Chełmońskiego Pętla,50.093439027,19.897401527
Chełmska,50.0638138885,19.841064861
Chobot Kapliczka,50.0736612495,20.346730555
Chobot Leśniczówka,50.080205555,20.352612222
Cholerzyn Chałupki,50.052318194,19.783600276999998
Cholerzyn Granica,50.059813055000006,19.7423798605
Cholerzyn Sklep,50.059181666499995,19.768925694
Cholerzyn Skrzyżowanie,50.057923333,19.7619723605
Cholerzyn Skwer,50.0583718055,19.775000415999997
Cholerzyn Zagórze,50.058358333,19.7542568055
Chopina,50.06753,19.917252222
Chorowice Pętla,49.949365833,19.8697175
Chorzowska,49.995385833,19.914449722
Chrosna Kapliczka,50.079620694,19.729814444
Chrosna Pętla,50.082203055,19.709563333
Chrosna Sklep,50.0796251385,19.7211099995
Chrosna Studnia,50.081345972,19.716142083
Cianowice Do Cegielni,50.212663333,19.867174166
Cianowice Marianów,50.203917499499994,19.8805811105
Cianowice Małe,50.186349583,19.8854124995
Cianowice Poręba,50.2099776385,19.8722365275
Cianowice Szczodrkowicka,50.1971427775,19.8837590275
Cichy Kącik,50.06256824033333,19.902778055333332
Cienista,50.0855627775,20.038970416
Clepardia,50.093645416,19.945050555
Cmentarz Bielany,50.047989861000005,19.826333611000003
Cmentarz Bieżanów,50.0107547215,20.0237301385
Cmentarz Borek Fałęcki,50.009264814666665,19.914242407
Cmentarz Bronowice,50.0953284715,19.8734429165
Cmentarz Grębałów,50.091308610666665,20.071290647666668
Cmentarz Grębałów Południe,50.0901254165,20.063210972
Cmentarz Mydlniki,50.087267638,19.841232083
Cmentarz Olszanica,50.067590833,19.82408
Cmentarz Podgórski,50.039038055,19.964242916
Cmentarz Prądnik Czerwony,50.101428333,19.982595694
Cmentarz Prądnik Czerwony Wschód,50.102393194,19.9864211105
Cmentarz Rakowicki,50.0736963885,19.958722083
Cmentarz Rakowicki Zachód,50.075910694,19.947229860500002
